year,age,origin,uni,applicants,accepted,party,brexit
2020,18,Northern Irish students,Welsh Universities,1640,140,Conservative,Pre Brexit
2020,18,International students,English Universities,300565,29210,Conservative,Pre Brexit
2020,18,International students,Northern Irish Universities,1540,110,Conservative,Pre Brexit
2020,18,International students,Scottish Universities,33920,3600,Conservative,Pre Brexit
2020,18,International students,Welsh Universities,6940,700,Conservative,Pre Brexit
2020,18,Scottish students,English Universities,7610,1050,Conservative,Pre Brexit
2020,18,Scottish students,Northern Irish Universities,170,10,Conservative,Pre Brexit
2020,18,Scottish students,Scottish Universities,151100,26125,Conservative,Pre Brexit
2020,18,Scottish students,Welsh Universities,100,10,Conservative,Pre Brexit
2020,18,Welsh students,English Universities,61040,8730,Conservative,Pre Brexit
2020,18,Welsh students,Northern Irish Universities,140,25,Conservative,Pre Brexit
2020,18,Welsh students,Scottish Universities,1635,160,Conservative,Pre Brexit
2020,18,Welsh students,Welsh Universities,37650,8730,Conservative,Pre Brexit
2020,19,European students,English Universities,102120,13775,Conservative,Pre Brexit
2020,19,European students,Northern Irish Universities,1390,210,Conservative,Pre Brexit
2020,19,European students,Scottish Universities,25735,2205,Conservative,Pre Brexit
2020,19,European students,Welsh Universities,4680,660,Conservative,Pre Brexit
2020,19,English students,English Universities,578950,103125,Conservative,Pre Brexit
2020,19,English students,Northern Irish Universities,590,80,Conservative,Pre Brexit
2020,19,English students,Scottish Universities,13300,1740,Conservative,Pre Brexit
2020,19,English students,Welsh Universities,15630,3100,Conservative,Pre Brexit
2020,19,Northern Irish students,English Universities,8580,1195,Conservative,Pre Brexit
2020,19,Northern Irish students,Northern Irish Universities,14480,2760,Conservative,Pre Brexit
2020,19,Northern Irish students,Scottish Universities,1950,220,Conservative,Pre Brexit
2020,19,Northern Irish students,Welsh Universities,360,40,Conservative,Pre Brexit
2020,19,International students,English Universities,171380,18670,Conservative,Pre Brexit
2020,19,International students,Northern Irish Universities,1025,110,Conservative,Pre Brexit
2020,19,International students,Scottish Universities,15405,1555,Conservative,Pre Brexit
2020,19,International students,Welsh Universities,4710,490,Conservative,Pre Brexit
2020,19,Scottish students,English Universities,4130,620,Conservative,Pre Brexit
2020,19,Scottish students,Northern Irish Universities,70,10,Conservative,Pre Brexit
2020,19,Scottish students,Scottish Universities,42210,7355,Conservative,Pre Brexit
2020,19,Scottish students,Welsh Universities,75,10,Conservative,Pre Brexit
2020,19,Welsh students,English Universities,17935,2915,Conservative,Pre Brexit
2020,19,Welsh students,Northern Irish Universities,60,5,Conservative,Pre Brexit
2020,19,Welsh students,Scottish Universities,450,70,Conservative,Pre Brexit
2020,19,Welsh students,Welsh Universities,11715,2950,Conservative,Pre Brexit
2020,20,European students,English Universities,31310,4585,Conservative,Pre Brexit
2020,20,European students,Northern Irish Universities,470,75,Conservative,Pre Brexit
2020,20,European students,Scottish Universities,9230,895,Conservative,Pre Brexit
2020,20,European students,Welsh Universities,1410,260,Conservative,Pre Brexit
2020,20,English students,English Universities,195580,36835,Conservative,Pre Brexit
2020,20,English students,Northern Irish Universities,130,20,Conservative,Pre Brexit
2020,20,English students,Scottish Universities,2760,270,Conservative,Pre Brexit
2020,20,English students,Welsh Universities,4040,820,Conservative,Pre Brexit
2020,20,Northern Irish students,English Universities,3440,480,Conservative,Pre Brexit
2020,20,Northern Irish students,Northern Irish Universities,7255,1520,Conservative,Pre Brexit
2020,20,Northern Irish students,Scottish Universities,670,90,Conservative,Pre Brexit
2020,20,Northern Irish students,Welsh Universities,105,10,Conservative,Pre Brexit
2020,20,International students,English Universities,67710,8000,Conservative,Pre Brexit
2020,20,International students,Northern Irish Universities,590,70,Conservative,Pre Brexit
2020,20,International students,Scottish Universities,5640,650,Conservative,Pre Brexit
2020,20,International students,Welsh Universities,2680,370,Conservative,Pre Brexit
2020,20,Scottish students,English Universities,1285,180,Conservative,Pre Brexit
2020,20,Scottish students,Northern Irish Universities,15,0,Conservative,Pre Brexit
2020,20,Scottish students,Scottish Universities,25345,4540,Conservative,Pre Brexit
2020,20,Scottish students,Welsh Universities,40,20,Conservative,Pre Brexit
2020,20,Welsh students,English Universities,5285,840,Conservative,Pre Brexit
2020,20,Welsh students,Scottish Universities,75,10,Conservative,Pre Brexit
2020,20,Welsh students,Welsh Universities,3900,1130,Conservative,Pre Brexit
2020,21 - 24,European students,English Universities,25325,3745,Conservative,Pre Brexit
2020,21 - 24,European students,Northern Irish Universities,660,120,Conservative,Pre Brexit
2020,21 - 24,European students,Scottish Universities,8340,930,Conservative,Pre Brexit
2020,21 - 24,European students,Welsh Universities,955,175,Conservative,Pre Brexit
2020,21 - 24,English students,English Universities,251380,48290,Conservative,Pre Brexit
2020,21 - 24,English students,Northern Irish Universities,340,50,Conservative,Pre Brexit
2020,21 - 24,English students,Scottish Universities,4400,450,Conservative,Pre Brexit
2020,21 - 24,English students,Welsh Universities,5570,970,Conservative,Pre Brexit
2020,21 - 24,Northern Irish students,English Universities,3530,470,Conservative,Pre Brexit
2020,21 - 24,Northern Irish students,Northern Irish Universities,8355,1710,Conservative,Pre Brexit
2020,21 - 24,Northern Irish students,Scottish Universities,1030,80,Conservative,Pre Brexit
2020,21 - 24,Northern Irish students,Welsh Universities,145,10,Conservative,Pre Brexit
2020,21 - 24,International students,English Universities,57515,6200,Conservative,Pre Brexit
2020,21 - 24,International students,Northern Irish Universities,880,130,Conservative,Pre Brexit
2020,21 - 24,International students,Scottish Universities,4850,480,Conservative,Pre Brexit
2020,21 - 24,International students,Welsh Universities,2440,360,Conservative,Pre Brexit
2020,21 - 24,Scottish students,English Universities,2585,345,Conservative,Pre Brexit
2020,21 - 24,Scottish students,Northern Irish Universities,55,0,Conservative,Pre Brexit
2020,21 - 24,Scottish students,Scottish Universities,59470,10440,Conservative,Pre Brexit
2020,21 - 24,Scottish students,Welsh Universities,90,20,Conservative,Pre Brexit
2020,21 - 24,Welsh students,English Universities,7020,1050,Conservative,Pre Brexit
2020,21 - 24,Welsh students,Northern Irish Universities,30,0,Conservative,Pre Brexit
2020,21 - 24,Welsh students,Scottish Universities,170,10,Conservative,Pre Brexit
2020,21 - 24,Welsh students,Welsh Universities,7410,2010,Conservative,Pre Brexit
2020,25 - 29,European students,English Universities,4775,630,Conservative,Pre Brexit
2020,25 - 29,European students,Northern Irish Universities,170,20,Conservative,Pre Brexit
2020,25 - 29,European students,Scottish Universities,2360,260,Conservative,Pre Brexit
2020,25 - 29,European students,Welsh Universities,180,20,Conservative,Pre Brexit
2020,25 - 29,English students,English Universities,108305,22395,Conservative,Pre Brexit
2020,25 - 29,English students,Northern Irish Universities,110,10,Conservative,Pre Brexit
2020,25 - 29,English students,Scottish Universities,1845,180,Conservative,Pre Brexit
2020,25 - 29,English students,Welsh Universities,2170,345,Conservative,Pre Brexit
2020,25 - 29,Northern Irish students,English Universities,615,55,Conservative,Pre Brexit
2020,25 - 29,Northern Irish students,Northern Irish Universities,3120,600,Conservative,Pre Brexit
2020,25 - 29,Northern Irish students,Scottish Universities,300,25,Conservative,Pre Brexit
2020,25 - 29,Northern Irish students,Welsh Universities,50,5,Conservative,Pre Brexit
2020,25 - 29,International students,English Universities,14490,1455,Conservative,Pre Brexit
2020,25 - 29,International students,Northern Irish Universities,200,30,Conservative,Pre Brexit
2020,25 - 29,International students,Scottish Universities,1460,150,Conservative,Pre Brexit
2020,25 - 29,International students,Welsh Universities,560,50,Conservative,Pre Brexit
2020,25 - 29,Scottish students,English Universities,1090,140,Conservative,Pre Brexit
2020,25 - 29,Scottish students,Northern Irish Universities,30,0,Conservative,Pre Brexit
2020,25 - 29,Scottish students,Scottish Universities,32765,6070,Conservative,Pre Brexit
2020,25 - 29,Scottish students,Welsh Universities,70,10,Conservative,Pre Brexit
2020,25 - 29,Welsh students,English Universities,2260,285,Conservative,Pre Brexit
2020,25 - 29,Welsh students,Northern Irish Universities,5,0,Conservative,Pre Brexit
2020,25 - 29,Welsh students,Scottish Universities,95,5,Conservative,Pre Brexit
2020,25 - 29,Welsh students,Welsh Universities,4550,1320,Conservative,Pre Brexit
2020,30 - 34,European students,English Universities,930,140,Conservative,Pre Brexit
2020,30 - 34,European students,Northern Irish Universities,90,20,Conservative,Pre Brexit
2020,30 - 34,European students,Scottish Universities,535,60,Conservative,Pre Brexit
2020,30 - 34,European students,Welsh Universities,40,5,Conservative,Pre Brexit
2020,30 - 34,English students,English Universities,61020,13500,Conservative,Pre Brexit
2020,30 - 34,English students,Northern Irish Universities,35,0,Conservative,Pre Brexit
2020,30 - 34,English students,Scottish Universities,630,60,Conservative,Pre Brexit
2020,30 - 34,English students,Welsh Universities,840,100,Conservative,Pre Brexit
2020,30 - 34,Northern Irish students,English Universities,100,10,Conservative,Pre Brexit
2020,30 - 34,Northern Irish students,Northern Irish Universities,1800,360,Conservative,Pre Brexit
2020,30 - 34,Northern Irish students,Scottish Universities,110,0,Conservative,Pre Brexit
2020,30 - 34,Northern Irish students,Welsh Universities,15,0,Conservative,Pre Brexit
2020,30 - 34,International students,English Universities,5360,390,Conservative,Pre Brexit
2020,30 - 34,International students,Northern Irish Universities,80,10,Conservative,Pre Brexit
2020,30 - 34,International students,Scottish Universities,630,70,Conservative,Pre Brexit
2020,30 - 34,International students,Welsh Universities,170,15,Conservative,Pre Brexit
2020,30 - 34,Scottish students,English Universities,350,40,Conservative,Pre Brexit
2020,30 - 34,Scottish students,Northern Irish Universities,10,0,Conservative,Pre Brexit
2020,30 - 34,Scottish students,Scottish Universities,15430,3180,Conservative,Pre Brexit
2020,30 - 34,Scottish students,Welsh Universities,15,0,Conservative,Pre Brexit
2020,30 - 34,Welsh students,English Universities,910,110,Conservative,Pre Brexit
2020,30 - 34,Welsh students,Scottish Universities,20,0,Conservative,Pre Brexit
2020,30 - 34,Welsh students,Welsh Universities,2940,890,Conservative,Pre Brexit
2020,35 and over,European students,English Universities,980,120,Conservative,Pre Brexit
2020,35 and over,European students,Northern Irish Universities,70,15,Conservative,Pre Brexit
2020,35 and over,European students,Scottish Universities,475,50,Conservative,Pre Brexit
2020,35 and over,European students,Welsh Universities,25,0,Conservative,Pre Brexit
2020,35 and over,English students,English Universities,120740,25695,Conservative,Pre Brexit
2020,35 and over,English students,Northern Irish Universities,35,0,Conservative,Pre Brexit
2020,35 and over,English students,Scottish Universities,660,60,Conservative,Pre Brexit
2020,35 and over,English students,Welsh Universities,1135,125,Conservative,Pre Brexit
2020,35 and over,Northern Irish students,English Universities,170,15,Conservative,Pre Brexit
2020,35 and over,Northern Irish students,Northern Irish Universities,2300,520,Conservative,Pre Brexit
2020,35 and over,Northern Irish students,Scottish Universities,50,0,Conservative,Pre Brexit
2020,35 and over,Northern Irish students,Welsh Universities,5,0,Conservative,Pre Brexit
2020,35 and over,International students,English Universities,5070,420,Conservative,Pre Brexit
2020,35 and over,International students,Northern Irish Universities,20,0,Conservative,Pre Brexit
2020,35 and over,International students,Scottish Universities,510,30,Conservative,Pre Brexit
2020,35 and over,International students,Welsh Universities,160,10,Conservative,Pre Brexit
2020,35 and over,Scottish students,English Universities,380,50,Conservative,Pre Brexit
2020,35 and over,Scottish students,Scottish Universities,23305,5140,Conservative,Pre Brexit
2020,35 and over,Scottish students,Welsh Universities,15,0,Conservative,Pre Brexit
2020,35 and over,Welsh students,English Universities,920,135,Conservative,Pre Brexit
2020,35 and over,Welsh students,Scottish Universities,10,0,Conservative,Pre Brexit
2020,35 and over,Welsh students,Welsh Universities,4070,1330,Conservative,Pre Brexit
2021,17 and under,European students,English Universities,24350,2180,Conservative,Post Brexit
2021,17 and under,European students,Northern Irish Universities,760,95,Conservative,Post Brexit
2021,17 and under,European students,Scottish Universities,4100,280,Conservative,Post Brexit
2021,17 and under,European students,Welsh Universities,710,80,Conservative,Post Brexit
2021,17 and under,English students,English Universities,7650,1090,Conservative,Post Brexit
2021,17 and under,English students,Northern Irish Universities,15,0,Conservative,Post Brexit
2021,17 and under,English students,Scottish Universities,490,55,Conservative,Post Brexit
2021,17 and under,English students,Welsh Universities,145,20,Conservative,Post Brexit
2021,17 and under,Northern Irish students,English Universities,140,25,Conservative,Post Brexit
2021,17 and under,Northern Irish students,Northern Irish Universities,120,20,Conservative,Post Brexit
2021,17 and under,Northern Irish students,Scottish Universities,60,0,Conservative,Post Brexit
2021,17 and under,International students,English Universities,80855,6310,Conservative,Post Brexit
2021,17 and under,International students,Northern Irish Universities,550,25,Conservative,Post Brexit
2021,17 and under,International students,Scottish Universities,9380,880,Conservative,Post Brexit
2021,17 and under,International students,Welsh Universities,1980,160,Conservative,Post Brexit
2021,17 and under,Scottish students,English Universities,230,30,Conservative,Post Brexit
2021,17 and under,Scottish students,Northern Irish Universities,5,0,Conservative,Post Brexit
2021,17 and under,Scottish students,Scottish Universities,7560,1100,Conservative,Post Brexit
2021,17 and under,Scottish students,Welsh Universities,10,0,Conservative,Post Brexit
2021,17 and under,Welsh students,English Universities,110,10,Conservative,Post Brexit
2021,17 and under,Welsh students,Scottish Universities,10,0,Conservative,Post Brexit
2021,17 and under,Welsh students,Welsh Universities,30,10,Conservative,Post Brexit
2021,18,European students,English Universities,87510,8670,Conservative,Post Brexit
2021,18,European students,Northern Irish Universities,4495,670,Conservative,Post Brexit
2021,18,European students,Scottish Universities,17605,1200,Conservative,Post Brexit
2021,18,European students,Welsh Universities,2525,220,Conservative,Post Brexit
2021,18,English students,English Universities,2376035,393710,Conservative,Post Brexit
2021,18,English students,Northern Irish Universities,3320,410,Conservative,Post Brexit
2021,18,English students,Scottish Universities,75940,8270,Conservative,Post Brexit
2021,18,English students,Welsh Universities,80400,13720,Conservative,Post Brexit
2021,18,Northern Irish students,English Universities,32830,4085,Conservative,Post Brexit
2021,18,Northern Irish students,Northern Irish Universities,64165,12030,Conservative,Post Brexit
2021,18,Northern Irish students,Scottish Universities,12120,1160,Conservative,Post Brexit
2021,18,Northern Irish students,Welsh Universities,2010,225,Conservative,Post Brexit
2021,18,International students,English Universities,352835,31255,Conservative,Post Brexit
2021,18,International students,Northern Irish Universities,1710,125,Conservative,Post Brexit
2021,18,International students,Scottish Universities,43430,4240,Conservative,Post Brexit
2021,18,International students,Welsh Universities,8190,855,Conservative,Post Brexit
2021,18,Scottish students,English Universities,9215,1325,Conservative,Post Brexit
2021,18,Scottish students,Northern Irish Universities,220,20,Conservative,Post Brexit
2021,18,Scottish students,Scottish Universities,177105,30580,Conservative,Post Brexit
2021,18,Scottish students,Welsh Universities,200,30,Conservative,Post Brexit
2021,18,Welsh students,English Universities,72350,10590,Conservative,Post Brexit
2021,18,Welsh students,Northern Irish Universities,245,30,Conservative,Post Brexit
2021,18,Welsh students,Scottish Universities,2460,200,Conservative,Post Brexit
2021,18,Welsh students,Welsh Universities,41860,9500,Conservative,Post Brexit
2021,19,European students,English Universities,45260,4795,Conservative,Post Brexit
2021,19,European students,Northern Irish Universities,2280,325,Conservative,Post Brexit
2021,19,European students,Scottish Universities,10030,635,Conservative,Post Brexit
2021,19,European students,Welsh Universities,1510,140,Conservative,Post Brexit
2021,19,English students,English Universities,576645,101620,Conservative,Post Brexit
2021,19,English students,Northern Irish Universities,790,80,Conservative,Post Brexit
2021,19,English students,Scottish Universities,14805,1690,Conservative,Post Brexit
2021,19,English students,Welsh Universities,16695,3160,Conservative,Post Brexit
2021,19,Northern Irish students,English Universities,8530,1250,Conservative,Post Brexit
2021,19,Northern Irish students,Northern Irish Universities,11930,2080,Conservative,Post Brexit
2021,19,Northern Irish students,Scottish Universities,1790,170,Conservative,Post Brexit
2021,19,Northern Irish students,Welsh Universities,335,50,Conservative,Post Brexit
2021,19,International students,English Universities,180460,18700,Conservative,Post Brexit
2021,19,International students,Northern Irish Universities,980,100,Conservative,Post Brexit
2021,19,International students,Scottish Universities,18395,1825,Conservative,Post Brexit
2021,19,International students,Welsh Universities,4455,510,Conservative,Post Brexit
2021,19,Scottish students,English Universities,4780,730,Conservative,Post Brexit
2021,19,Scottish students,Northern Irish Universities,70,5,Conservative,Post Brexit
2021,19,Scottish students,Scottish Universities,46985,7830,Conservative,Post Brexit
2021,19,Scottish students,Welsh Universities,80,20,Conservative,Post Brexit
2021,19,Welsh students,English Universities,18920,2810,Conservative,Post Brexit
2021,19,Welsh students,Northern Irish Universities,30,10,Conservative,Post Brexit
2021,19,Welsh students,Scottish Universities,515,60,Conservative,Post Brexit
2021,19,Welsh students,Welsh Universities,11410,2665,Conservative,Post Brexit
2021,20,European students,English Universities,13670,1530,Conservative,Post Brexit
2021,20,European students,Northern Irish Universities,565,90,Conservative,Post Brexit
2021,20,European students,Scottish Universities,3315,265,Conservative,Post Brexit
2021,20,European students,Welsh Universities,535,60,Conservative,Post Brexit
2021,20,English students,English Universities,194330,33650,Conservative,Post Brexit
2021,20,English students,Northern Irish Universities,245,30,Conservative,Post Brexit
2021,20,English students,Scottish Universities,2780,230,Conservative,Post Brexit
2021,20,English students,Welsh Universities,4895,850,Conservative,Post Brexit
2021,20,Northern Irish students,English Universities,3420,465,Conservative,Post Brexit
2021,20,Northern Irish students,Northern Irish Universities,6575,1275,Conservative,Post Brexit
2021,20,Northern Irish students,Scottish Universities,570,40,Conservative,Post Brexit
2021,20,Northern Irish students,Welsh Universities,120,35,Conservative,Post Brexit
2021,20,International students,English Universities,72860,8800,Conservative,Post Brexit
2021,20,International students,Northern Irish Universities,820,180,Conservative,Post Brexit
2021,20,International students,Scottish Universities,6295,700,Conservative,Post Brexit
2021,20,International students,Welsh Universities,2720,385,Conservative,Post Brexit
2021,20,Scottish students,English Universities,1795,260,Conservative,Post Brexit
2021,20,Scottish students,Northern Irish Universities,20,0,Conservative,Post Brexit
2021,20,Scottish students,Scottish Universities,27315,4490,Conservative,Post Brexit
2021,20,Scottish students,Welsh Universities,30,5,Conservative,Post Brexit
2021,20,Welsh students,English Universities,5410,810,Conservative,Post Brexit
2021,20,Welsh students,Northern Irish Universities,10,0,Conservative,Post Brexit
2021,20,Welsh students,Scottish Universities,110,10,Conservative,Post Brexit
2021,20,Welsh students,Welsh Universities,4360,1020,Conservative,Post Brexit
2021,21 - 24,European students,English Universities,13520,1550,Conservative,Post Brexit
2021,21 - 24,European students,Northern Irish Universities,760,90,Conservative,Post Brexit
2021,21 - 24,European students,Scottish Universities,3690,355,Conservative,Post Brexit
2021,21 - 24,European students,Welsh Universities,545,65,Conservative,Post Brexit
2021,21 - 24,English students,English Universities,272870,45850,Conservative,Post Brexit
2021,21 - 24,English students,Northern Irish Universities,580,40,Conservative,Post Brexit
2021,21 - 24,English students,Scottish Universities,5200,400,Conservative,Post Brexit
2021,21 - 24,English students,Welsh Universities,6530,1010,Conservative,Post Brexit
2021,21 - 24,Northern Irish students,English Universities,3920,520,Conservative,Post Brexit
2021,21 - 24,Northern Irish students,Northern Irish Universities,9575,1715,Conservative,Post Brexit
2021,21 - 24,Northern Irish students,Scottish Universities,1210,90,Conservative,Post Brexit
2021,21 - 24,Northern Irish students,Welsh Universities,160,15,Conservative,Post Brexit
2021,21 - 24,International students,English Universities,64120,7035,Conservative,Post Brexit
2021,21 - 24,International students,Northern Irish Universities,1070,195,Conservative,Post Brexit
2021,21 - 24,International students,Scottish Universities,5100,490,Conservative,Post Brexit
2021,21 - 24,International students,Welsh Universities,2910,350,Conservative,Post Brexit
2021,21 - 24,Scottish students,English Universities,2830,340,Conservative,Post Brexit
2021,21 - 24,Scottish students,Northern Irish Universities,105,10,Conservative,Post Brexit
2021,21 - 24,Scottish students,Scottish Universities,63750,9840,Conservative,Post Brexit
2021,21 - 24,Scottish students,Welsh Universities,100,10,Conservative,Post Brexit
2021,21 - 24,Welsh students,English Universities,7770,1040,Conservative,Post Brexit
2021,21 - 24,Welsh students,Northern Irish Universities,60,10,Conservative,Post Brexit
2021,21 - 24,Welsh students,Scottish Universities,230,30,Conservative,Post Brexit
2021,21 - 24,Welsh students,Welsh Universities,7805,1875,Conservative,Post Brexit
2021,25 - 29,European students,English Universities,2470,260,Conservative,Post Brexit
2021,25 - 29,European students,Northern Irish Universities,280,50,Conservative,Post Brexit
2021,25 - 29,European students,Scottish Universities,1150,85,Conservative,Post Brexit
2021,25 - 29,European students,Welsh Universities,160,10,Conservative,Post Brexit
2021,25 - 29,English students,English Universities,124940,22320,Conservative,Post Brexit
2021,25 - 29,English students,Northern Irish Universities,270,20,Conservative,Post Brexit
2021,25 - 29,English students,Scottish Universities,2030,150,Conservative,Post Brexit
2021,25 - 29,English students,Welsh Universities,2590,290,Conservative,Post Brexit
2021,25 - 29,Northern Irish students,English Universities,760,90,Conservative,Post Brexit
2021,25 - 29,Northern Irish students,Northern Irish Universities,3880,580,Conservative,Post Brexit
2021,25 - 29,Northern Irish students,Scottish Universities,340,25,Conservative,Post Brexit
2021,25 - 29,Northern Irish students,Welsh Universities,70,10,Conservative,Post Brexit
2021,25 - 29,International students,English Universities,17930,1545,Conservative,Post Brexit
2021,25 - 29,International students,Northern Irish Universities,210,30,Conservative,Post Brexit
2021,25 - 29,International students,Scottish Universities,1855,180,Conservative,Post Brexit
2021,25 - 29,International students,Welsh Universities,715,40,Conservative,Post Brexit
2021,25 - 29,Scottish students,English Universities,1330,140,Conservative,Post Brexit
2021,25 - 29,Scottish students,Northern Irish Universities,40,0,Conservative,Post Brexit
2021,25 - 29,Scottish students,Scottish Universities,38840,6370,Conservative,Post Brexit
2021,25 - 29,Scottish students,Welsh Universities,80,5,Conservative,Post Brexit
2021,25 - 29,Welsh students,English Universities,2925,400,Conservative,Post Brexit
2021,25 - 29,Welsh students,Northern Irish Universities,20,0,Conservative,Post Brexit
2021,25 - 29,Welsh students,Scottish Universities,110,5,Conservative,Post Brexit
2021,25 - 29,Welsh students,Welsh Universities,5195,1300,Conservative,Post Brexit
2021,30 - 34,European students,English Universities,755,75,Conservative,Post Brexit
2021,30 - 34,European students,Northern Irish Universities,100,10,Conservative,Post Brexit
2021,30 - 34,European students,Scottish Universities,280,20,Conservative,Post Brexit
2021,30 - 34,European students,Welsh Universities,40,0,Conservative,Post Brexit
2021,30 - 34,English students,English Universities,71860,13880,Conservative,Post Brexit
2021,30 - 34,English students,Northern Irish Universities,80,0,Conservative,Post Brexit
2021,30 - 34,English students,Scottish Universities,680,50,Conservative,Post Brexit
2021,30 - 34,English students,Welsh Universities,985,110,Conservative,Post Brexit
2021,30 - 34,Northern Irish students,English Universities,260,20,Conservative,Post Brexit
2021,30 - 34,Northern Irish students,Northern Irish Universities,2090,345,Conservative,Post Brexit
2021,30 - 34,Northern Irish students,Scottish Universities,80,5,Conservative,Post Brexit
2021,30 - 34,Northern Irish students,Welsh Universities,30,0,Conservative,Post Brexit
2021,30 - 34,International students,English Universities,7450,550,Conservative,Post Brexit
2021,30 - 34,International students,Northern Irish Universities,40,5,Conservative,Post Brexit
2021,30 - 34,International students,Scottish Universities,830,50,Conservative,Post Brexit
2021,30 - 34,International students,Welsh Universities,240,20,Conservative,Post Brexit
2021,30 - 34,Scottish students,English Universities,460,60,Conservative,Post Brexit
2021,30 - 34,Scottish students,Northern Irish Universities,10,0,Conservative,Post Brexit
2021,30 - 34,Scottish students,Scottish Universities,18360,3305,Conservative,Post Brexit
2021,30 - 34,Scottish students,Welsh Universities,40,0,Conservative,Post Brexit
2021,30 - 34,Welsh students,English Universities,1015,120,Conservative,Post Brexit
2021,30 - 34,Welsh students,Scottish Universities,30,0,Conservative,Post Brexit
2021,30 - 34,Welsh students,Welsh Universities,3160,880,Conservative,Post Brexit
2021,35 and over,European students,English Universities,720,80,Conservative,Post Brexit
2021,35 and over,European students,Northern Irish Universities,135,20,Conservative,Post Brexit
2021,35 and over,European students,Scottish Universities,230,5,Conservative,Post Brexit
2021,35 and over,European students,Welsh Universities,40,0,Conservative,Post Brexit
2021,35 and over,English students,English Universities,135200,24805,Conservative,Post Brexit
2021,35 and over,English students,Northern Irish Universities,80,0,Conservative,Post Brexit
2021,35 and over,English students,Scottish Universities,670,50,Conservative,Post Brexit
2021,35 and over,English students,Welsh Universities,1280,130,Conservative,Post Brexit
2021,35 and over,Northern Irish students,English Universities,130,30,Conservative,Post Brexit
2021,35 and over,Northern Irish students,Northern Irish Universities,2765,440,Conservative,Post Brexit
2021,35 and over,Northern Irish students,Scottish Universities,60,5,Conservative,Post Brexit
2021,35 and over,Northern Irish students,Welsh Universities,10,0,Conservative,Post Brexit
2021,35 and over,International students,English Universities,7825,480,Conservative,Post Brexit
2021,35 and over,International students,Northern Irish Universities,45,0,Conservative,Post Brexit
2021,35 and over,International students,Scottish Universities,925,45,Conservative,Post Brexit
2021,35 and over,International students,Welsh Universities,220,10,Conservative,Post Brexit
2021,35 and over,Scottish students,English Universities,520,65,Conservative,Post Brexit
2021,35 and over,Scottish students,Northern Irish Universities,10,0,Conservative,Post Brexit
2021,35 and over,Scottish students,Scottish Universities,24910,4830,Conservative,Post Brexit
2021,35 and over,Scottish students,Welsh Universities,35,0,Conservative,Post Brexit
2021,35 and over,Welsh students,English Universities,1065,140,Conservative,Post Brexit
2021,35 and over,Welsh students,Northern Irish Universities,15,0,Conservative,Post Brexit
2021,35 and over,Welsh students,Scottish Universities,25,0,Conservative,Post Brexit
2021,35 and over,Welsh students,Welsh Universities,4115,1190,Conservative,Post Brexit
2022,17 and under,European students,English Universities,21470,1855,Conservative,Post Brexit
2022,17 and under,European students,Northern Irish Universities,1090,145,Conservative,Post Brexit
2022,17 and under,European students,Scottish Universities,2955,235,Conservative,Post Brexit
2022,17 and under,European students,Welsh Universities,510,40,Conservative,Post Brexit
2022,17 and under,English students,English Universities,9515,1230,Conservative,Post Brexit
2022,17 and under,English students,Northern Irish Universities,20,0,Conservative,Post Brexit
2022,17 and under,English students,Scottish Universities,580,45,Conservative,Post Brexit
2022,17 and under,English students,Welsh Universities,220,30,Conservative,Post Brexit
2022,17 and under,Northern Irish students,English Universities,130,15,Conservative,Post Brexit
2022,17 and under,Northern Irish students,Northern Irish Universities,115,20,Conservative,Post Brexit
2022,17 and under,Northern Irish students,Scottish Universities,45,10,Conservative,Post Brexit
2022,17 and under,Northern Irish students,Welsh Universities,10,0,Conservative,Post Brexit
2022,17 and under,International students,English Universities,94475,7170,Conservative,Post Brexit
2022,17 and under,International students,Northern Irish Universities,705,20,Conservative,Post Brexit
2022,17 and under,International students,Scottish Universities,11415,765,Conservative,Post Brexit
2022,17 and under,International students,Welsh Universities,2120,115,Conservative,Post Brexit
2022,17 and under,Scottish students,English Universities,320,20,Conservative,Post Brexit
2022,17 and under,Scottish students,Northern Irish Universities,10,0,Conservative,Post Brexit
2022,17 and under,Scottish students,Scottish Universities,8330,1130,Conservative,Post Brexit
2022,17 and under,Welsh students,English Universities,210,25,Conservative,Post Brexit
2022,17 and under,Welsh students,Scottish Universities,40,5,Conservative,Post Brexit
2022,17 and under,Welsh students,Welsh Universities,50,20,Conservative,Post Brexit
2022,18,European students,English Universities,76370,7380,Conservative,Post Brexit
2022,18,European students,Northern Irish Universities,7820,1195,Conservative,Post Brexit
2022,18,European students,Scottish Universities,12320,920,Conservative,Post Brexit
2022,18,European students,Welsh Universities,2150,170,Conservative,Post Brexit
2022,18,English students,English Universities,2526080,385900,Conservative,Post Brexit
2022,18,English students,Northern Irish Universities,3805,430,Conservative,Post Brexit
2022,18,English students,Scottish Universities,84510,6160,Conservative,Post Brexit
2022,18,English students,Welsh Universities,85380,13490,Conservative,Post Brexit
2022,18,Northern Irish students,English Universities,36325,3750,Conservative,Post Brexit
2022,18,Northern Irish students,Northern Irish Universities,66650,11630,Conservative,Post Brexit
2022,18,Northern Irish students,Scottish Universities,11900,960,Conservative,Post Brexit
2022,18,Northern Irish students,Welsh Universities,2330,205,Conservative,Post Brexit
2022,18,International students,English Universities,380665,33550,Conservative,Post Brexit
2022,18,International students,Northern Irish Universities,2110,140,Conservative,Post Brexit
